tstamp,repository_name,url,forks_count,total_releases,latest_release,release_date,stars,open_issues,contributors_count,discussions
2025-07-16 7:18:43,18F/ckanext-formats,https://github.com/18F/ckanext-formats,8,0,No releases,No releases,1,1,1,FALSE
2025-07-16 7:18:50,6aika/ckanext-collection,https://github.com/6aika/ckanext-collection,2,0,No releases,No releases,1,3,1,FALSE
2025-07-16 7:31:26,6aika/ckanext-rating,https://github.com/6aika/ckanext-rating,19,0,No releases,No releases,2,1,2,FALSE
2025-07-16 7:18:09,6aika/ckanext-reminder,https://github.com/6aika/ckanext-reminder,2,0,No releases,No releases,1,2,2,FALSE
2025-07-16 6:58:46,908Inc/ckanext-forum,https://github.com/908Inc/ckanext-forum,0,0,No releases,No releases,0,0,8,FALSE
2025-07-16 7:01:11,AKSW/ckanext-metaconf,https://github.com/AKSW/ckanext-metaconf,0,0,No releases,No releases,0,10,1,FALSE
2025-07-16 7:19:44,AjuntamentdeBarcelona/ckanext-federagobes,https://github.com/AjuntamentdeBarcelona/ckanext-federagobes,0,0,No releases,No releases,6,0,1,FALSE
2025-07-16 7:20:59,AjuntamentdeBarcelona/ckanext-odatabcn,https://github.com/AjuntamentdeBarcelona/ckanext-odatabcn,0,0,No releases,No releases,10,0,4,FALSE
2025-07-16 7:00:40,AnnaGerber/ckanext-hideorgs,https://github.com/AnnaGerber/ckanext-hideorgs,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:31:44,AppGeo/ckanext-agsview,https://github.com/AppGeo/ckanext-agsview,10,0,No releases,No releases,10,8,2,FALSE
2025-07-16 7:13:40,BU-Spark/ckanext-spark,https://github.com/BU-Spark/ckanext-spark,0,0,No releases,No releases,2,1,4,FALSE
2025-07-16 7:22:53,BioplatformsAustralia/ckanext-bpatheme,https://github.com/BioplatformsAustralia/ckanext-bpatheme,3,0,No releases,No releases,3,0,6,FALSE
2025-07-16 7:07:28,BioplatformsAustralia/ckanext-bpatogalaxy,https://github.com/BioplatformsAustralia/ckanext-bpatogalaxy,1,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:17:49,BioplatformsAustralia/ckanext-bulk,https://github.com/BioplatformsAustralia/ckanext-bulk,2,0,No releases,No releases,1,2,4,FALSE
2025-07-16 7:07:20,BioplatformsAustralia/ckanext-cilogin,https://github.com/BioplatformsAustralia/ckanext-cilogin,1,0,No releases,No releases,1,0,1,FALSE
2025-07-16 7:05:47,BioplatformsAustralia/ckanext-laissezpasser,https://github.com/BioplatformsAustralia/ckanext-laissezpasser,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:14:52,CENDARI/ckanext-dariahshibboleth,https://github.com/CENDARI/ckanext-dariahshibboleth,0,0,No releases,No releases,3,1,1,FALSE
2025-07-16 7:12:16,CSCfi/fairdata-ckanext-etsin,https://github.com/CSCfi/fairdata-ckanext-etsin,0,0,No releases,No releases,2,0,7,FALSE
2025-07-16 7:18:28,CSIRO-enviro-informatics/ckanext-digitalassetfields,https://github.com/CSIRO-enviro-informatics/ckanext-digitalassetfields,2,1,v0.1,2018-12-05,0,0,4,FALSE
2025-07-16 7:15:59,CSIRO-enviro-informatics/ckanext-user_opt_in,https://github.com/CSIRO-enviro-informatics/ckanext-user_opt_in,2,1,v0.1,2018-09-17,1,0,3,FALSE
2025-07-16 7:22:24,Cadasta/ckanext-project,https://github.com/Cadasta/ckanext-project,3,0,No releases,No releases,1,14,5,FALSE
2025-07-16 7:14:13,Chealer/ckanext-categroupy,https://github.com/Chealer/ckanext-categroupy,0,1,v0.1,2020-04-21,2,0,1,FALSE
2025-07-16 7:05:11,City-of-Bloomington/ckanext-cob,https://github.com/City-of-Bloomington/ckanext-cob,0,1,0.1.0,2019-02-21,0,1,5,FALSE
2025-07-16 7:07:04,City-of-Helsinki/ckanext-hoi,https://github.com/City-of-Helsinki/ckanext-hoi,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:24:24,CityOfPhiladelphia/ckanext-highlight-related-items,https://github.com/CityOfPhiladelphia/ckanext-highlight-related-items,3,0,No releases,No releases,3,0,2,FALSE
2025-07-16 7:09:29,CiudadesAbiertas/ckanext-abrircon,https://github.com/CiudadesAbiertas/ckanext-abrircon,1,0,No releases,No releases,0,0,1,FALSE
2025-07-16 6:57:47,CivityNL/ckanext-fairdatapoint,https://github.com/CivityNL/ckanext-fairdatapoint,2,3,0.0.3,2024-03-22,1,2,6,FALSE
2025-07-16 7:08:58,CivityNL/ckanext-portal,https://github.com/CivityNL/ckanext-portal,0,0,No releases,No releases,0,0,4,FALSE
2025-07-16 7:10:42,CivityNL/ckanext-tracker,https://github.com/CivityNL/ckanext-tracker,0,0,No releases,No releases,0,1,4,FALSE
2025-07-16 7:00:28,Clairewjlee/ckanext-categories,https://github.com/Clairewjlee/ckanext-categories,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 6:58:42,CodeForAfrica/ckanext-embed,https://github.com/CodeForAfrica/ckanext-embed,1,0,No releases,No releases,0,2,1,FALSE
2025-07-16 7:11:38,CodeForAfrica/ckanext-followy,https://github.com/CodeForAfrica/ckanext-followy,1,0,No releases,No releases,1,3,1,FALSE
2025-07-16 7:06:30,CodeForAfrica/ckanext-kyelatheme,https://github.com/CodeForAfrica/ckanext-kyelatheme,1,0,No releases,No releases,0,0,0,FALSE
2025-07-16 7:27:10,CodeForAfrica/ckanext-notify,https://github.com/CodeForAfrica/ckanext-notify,5,0,No releases,No releases,2,10,2,FALSE
2025-07-16 7:32:03,CodeForAfrica/ckanext-openafrica,https://github.com/CodeForAfrica/ckanext-openafrica,13,0,No releases,No releases,10,13,7,FALSE
2025-07-16 6:51:30,CodeForAfrica/ckanext-opengovharvester,https://github.com/CodeForAfrica/ckanext-opengovharvester,0,0,No releases,No releases,0,0,0,FALSE
2025-07-16 7:22:06,CodeForAfrica/ckanext-social,https://github.com/CodeForAfrica/ckanext-social,3,0,No releases,No releases,0,3,4,FALSE
2025-07-16 7:25:39,CodeForAfrica/ckanext-socialite,https://github.com/CodeForAfrica/ckanext-socialite,5,0,No releases,No releases,1,0,2,FALSE
2025-07-16 7:27:04,CodeandoMexico/ckanext-datamx_theme,https://github.com/CodeandoMexico/ckanext-datamx_theme,4,0,No releases,No releases,4,6,5,FALSE
2025-07-16 7:22:02,CodeandoMexico/ckanext-openrefine,https://github.com/CodeandoMexico/ckanext-openrefine,3,0,No releases,No releases,1,1,3,FALSE
2025-07-16 7:19:06,CodeandoMexico/ckanext-widgets,https://github.com/CodeandoMexico/ckanext-widgets,2,0,No releases,No releases,0,6,1,FALSE
2025-07-16 6:58:39,ConocimientoAbierto/ckanext-evaluator,https://github.com/ConocimientoAbierto/ckanext-evaluator,0,0,No releases,No releases,1,0,2,FALSE
2025-07-16 7:12:23,DCOR-dev/ckanext-dc_view,https://github.com/DCOR-dev/ckanext-dc_view,0,0,No releases,No releases,2,2,2,FALSE
2025-07-16 7:25:14,DEFRA/ckanext-defra,https://github.com/DEFRA/ckanext-defra,3,0,No releases,No releases,3,0,2,FALSE
2025-07-16 7:22:22,DEFRA/ckanext-defrareports,https://github.com/DEFRA/ckanext-defrareports,3,0,No releases,No releases,0,2,2,FALSE
2025-07-16 7:28:56,DanePubliczneGovPl/ckanext-danepubliczne,https://github.com/DanePubliczneGovPl/ckanext-danepubliczne,4,0,No releases,No releases,10,67,4,FALSE
2025-07-16 7:09:47,DataDotUG/ckanext-ddug,https://github.com/DataDotUG/ckanext-ddug,0,0,No releases,No releases,0,7,1,FALSE
2025-07-16 7:22:11,DataShades/ckanext-accessrequests,https://github.com/DataShades/ckanext-accessrequests,3,0,No releases,No releases,0,0,5,FALSE
2025-07-16 7:25:29,DataShades/ckanext-acl,https://github.com/DataShades/ckanext-acl,5,0,No releases,No releases,1,1,1,FALSE
2025-07-16 7:17:25,DataShades/ckanext-admin-panel,https://github.com/DataShades/ckanext-admin-panel,0,0,No releases,No releases,6,2,3,FALSE
2025-07-16 6:55:32,DataShades/ckanext-alias,https://github.com/DataShades/ckanext-alias,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:19:38,DataShades/ckanext-charts,https://github.com/DataShades/ckanext-charts,3,1,v1.9.0,2025-04-24,9,2,4,FALSE
2025-07-16 6:55:23,DataShades/ckanext-chatbot,https://github.com/DataShades/ckanext-chatbot,0,0,No releases,No releases,0,1,1,FALSE
2025-07-16 7:16:44,DataShades/ckanext-check-link,https://github.com/DataShades/ckanext-check-link,2,0,No releases,No releases,0,1,3,FALSE
2025-07-16 7:01:29,DataShades/ckanext-clamav,https://github.com/DataShades/ckanext-clamav,3,0,No releases,No releases,1,3,3,FALSE
2025-07-16 7:29:36,DataShades/ckanext-cloudconnector,https://github.com/DataShades/ckanext-cloudconnector,5,0,No releases,No releases,8,2,2,FALSE
2025-07-16 7:28:27,DataShades/ckanext-comments,https://github.com/DataShades/ckanext-comments,7,0,No releases,No releases,4,3,2,FALSE
2025-07-16 7:17:00,DataShades/ckanext-composite-search,https://github.com/DataShades/ckanext-composite-search,2,0,No releases,No releases,1,1,2,FALSE
2025-07-16 6:55:39,DataShades/ckanext-core-fix,https://github.com/DataShades/ckanext-core-fix,0,0,No releases,No releases,1,0,2,FALSE
2025-07-16 7:24:57,DataShades/ckanext-create_typed_package,https://github.com/DataShades/ckanext-create_typed_package,3,0,No releases,No releases,5,1,4,FALSE
2025-07-16 6:56:24,DataShades/ckanext-datavic-stats,https://github.com/DataShades/ckanext-datavic-stats,1,0,No releases,No releases,0,0,2,FALSE
2025-07-16 6:56:26,DataShades/ckanext-disable_related,https://github.com/DataShades/ckanext-disable_related,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:21:34,DataShades/ckanext-drupal-api,https://github.com/DataShades/ckanext-drupal-api,3,0,No releases,No releases,1,0,5,FALSE
2025-07-16 6:56:06,DataShades/ckanext-drupal-idp,https://github.com/DataShades/ckanext-drupal-idp,1,0,No releases,No releases,0,0,2,FALSE
2025-07-16 7:20:22,DataShades/ckanext-drupal_menu_sync,https://github.com/DataShades/ckanext-drupal_menu_sync,3,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:17:14,DataShades/ckanext-ds-stats,https://github.com/DataShades/ckanext-ds-stats,2,0,No releases,No releases,0,0,2,FALSE
2025-07-16 6:56:00,DataShades/ckanext-duo,https://github.com/DataShades/ckanext-duo,0,0,No releases,No releases,0,0,2,FALSE
2025-07-16 6:55:21,DataShades/ckanext-event-audit,https://github.com/DataShades/ckanext-event-audit,0,0,No releases,No releases,1,0,2,FALSE
2025-07-16 6:55:49,DataShades/ckanext-example_static,https://github.com/DataShades/ckanext-example_static,0,0,No releases,No releases,1,0,1,FALSE
2025-07-16 7:19:08,DataShades/ckanext-excelimport,https://github.com/DataShades/ckanext-excelimport,2,0,No releases,No releases,1,1,1,FALSE
2025-07-16 7:21:43,DataShades/ckanext-extend-search,https://github.com/DataShades/ckanext-extend-search,3,0,No releases,No releases,0,0,1,FALSE
2025-07-16 6:55:36,DataShades/ckanext-federated-index,https://github.com/DataShades/ckanext-federated-index,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:20:34,DataShades/ckanext-files,https://github.com/DataShades/ckanext-files,2,0,No releases,No releases,15,3,2,FALSE
2025-07-16 6:55:51,DataShades/ckanext-flakes,https://github.com/DataShades/ckanext-flakes,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 6:56:08,DataShades/ckanext-fpx,https://github.com/DataShades/ckanext-fpx,1,0,No releases,No releases,1,0,1,FALSE
2025-07-16 7:22:48,DataShades/ckanext-githubrepopreview,https://github.com/DataShades/ckanext-githubrepopreview,2,0,No releases,No releases,3,2,0,FALSE
2025-07-16 6:56:13,DataShades/ckanext-google_user,https://github.com/DataShades/ckanext-google_user,0,0,No releases,No releases,0,0,1,FALSE
2025-07-16 7:23:44,DataShades/ckanext-harvest-basket,https://github.com/DataShades/ckanext-harvest-basket,2,0,No releases,No releases,7,1,4,FALSE
2025-07-16 6:56:17,DataShades/ckanext-hierarchy_search,https://github.com/DataShades/ckanext-hierarchy_search,1,0,No releases,No releases,0,0,3,FALSE
2025-07-16 6:56:19,DataShades/ckanext-ingest,https://github.com/DataShades/ckanext-ingest,1,0,No releases,No releases,0,2,2,FALSE
2025-07-16 6:55:58,DataShades/ckanext-iso19115,https://github.com/DataShades/ckanext-iso19115,1,0,No releases,No releases,1,0,2,FALSE
