version,branch,released,branch_supported
2.9.0,2.9,2020-08-04,false
2.9.1,2.9,2020-10-20,false
2.9.2,2.9,2021-02-09,false
2.9.3,2.9,2021-05-18,false
2.9.4,2.9,2021-09-21,false
2.9.5,2.9,2022-01-19,false
2.9.6,2.9,2022-09-28,false
2.9.7,2.9,2022-10-25,false
2.9.8,2.9,2023-02-14,false
2.10.0,2.10,2023-02-15,true
2.9.9,2.9,2023-05-25,false
2.10.1,2.10,2023-05-25,true
2.9.10,2.9,2023-12-12,false
2.10.2,2.10,2023-12-12,true
2.10.3,2.10,2024-02-01,true
2.9.11,2.9,2024-03-13,false
2.10.4,2.10,2024-03-13,true
2.10.5,2.10,2024-08-27,true
2.11.0,2.11,2024-08-27,true
2.10.6,2.10,2024-12-11,true
2.11.1,2.11,2024-12-11,true
2.10.7,2.10,2025-02-05,true
2.11.2,2.11,2025-02-05,true
2.10.8,2.10,2025-05-07,true
2.11.3,2.11,2025-05-07,true
2.10.9,2.10,2025-10-29,true
2.11.4,2.11,2025-10-29,true
2.10.10,2.10,2026-04-29,true
2.11.5,2.11,2026-04-29,true
2.10.11,2.10,2026-08-26,true
2.11.6,2.11,2026-08-26,true
2.12.0,2.12,2026-08-26,true
